FIPS,NAICS2017,NAICS2017_LABEL,n
66160,722,Food services and drinking places,282
66160,7224,Drinking places (alcoholic beverages),51
66180,4451,Grocery stores,15
66180,44511,Supermarkets and other grocery (except convenience) stores,9
66180,722,Food services and drinking places,20
66190,4451,Grocery stores,5
66190,44511,Supermarkets and other grocery (except convenience) stores,4
60010,4451,Grocery stores,13
60010,44511,Supermarkets and other grocery (except convenience) stores,12
60010,722,Food services and drinking places,9
60050,4451,Grocery stores,17
60050,44511,Supermarkets and other grocery (except convenience) stores,17
60050,722,Food services and drinking places,7
78020,4451,Grocery stores,5
78020,44511,Supermarkets and other grocery (except convenience) stores,3
78020,722,Food services and drinking places,30
78020,7224,Drinking places (alcoholic beverages),3
78030,4451,Grocery stores,19
78030,44511,Supermarkets and other grocery (except convenience) stores,15
78030,722,Food services and drinking places,118
78030,7224,Drinking places (alcoholic beverages),15
78010,4451,Grocery stores,21
78010,44511,Supermarkets and other grocery (except convenience) stores,19
78010,722,Food services and drinking places,83
78010,7224,Drinking places (alcoholic beverages),3
72009,4451,Grocery stores,9
72009,44511,Supermarkets and other grocery (except convenience) stores,9
72009,722,Food services and drinking places,23
72059,4451,Grocery stores,3
72059,722,Food services and drinking places,17
72077,4451,Grocery stores,7
72077,44511,Supermarkets and other grocery (except convenience) stores,6
72077,722,Food services and drinking places,20
72079,4451,Grocery stores,10
72079,44511,Supermarkets and other grocery (except convenience) stores,8
72079,722,Food services and drinking places,24
72121,4451,Grocery stores,8
72121,44511,Supermarkets and other grocery (except convenience) stores,8
72121,722,Food services and drinking places,18
72001,4451,Grocery stores,4
72001,44511,Supermarkets and other grocery (except convenience) stores,4
72001,722,Food services and drinking places,15
72027,4451,Grocery stores,6
72027,44511,Supermarkets and other grocery (except convenience) stores,6
72027,722,Food services and drinking places,33
72055,4451,Grocery stores,5
72055,44511,Supermarkets and other grocery (except convenience) stores,4
72055,722,Food services and drinking places,9
72067,4451,Grocery stores,5
72067,44511,Supermarkets and other grocery (except convenience) stores,4
72067,722,Food services and drinking places,21
72091,4451,Grocery stores,8
72091,44511,Supermarkets and other grocery (except convenience) stores,8
72091,722,Food services and drinking places,51
72103,4451,Grocery stores,4
72103,44511,Supermarkets and other grocery (except convenience) stores,4
72103,722,Food services and drinking places,14
72105,4451,Grocery stores,8
72105,44511,Supermarkets and other grocery (except convenience) stores,7
72105,722,Food services and drinking places,21
72125,4451,Grocery stores,7
72125,44511,Supermarkets and other grocery (except convenience) stores,6
72125,722,Food services and drinking places,41
72141,4451,Grocery stores,9
72141,44511,Supermarkets and other grocery (except convenience) stores,8
72141,722,Food services and drinking places,14
72013,4451,Grocery stores,25
72013,44511,Supermarkets and other grocery (except convenience) stores,25
72013,4453,"Beer, wine, and liquor stores",3
72013,722,Food services and drinking places,87
72015,4451,Grocery stores,3
72015,44511,Supermarkets and other grocery (except convenience) stores,3
72015,722,Food services and drinking places,9
72033,4451,Grocery stores,7
72033,44511,Supermarkets and other grocery (except convenience) stores,7
72033,722,Food services and drinking places,28
72033,7224,Drinking places (alcoholic beverages),3
72054,4451,Grocery stores,6
72054,44511,Supermarkets and other grocery (except convenience) stores,6
72054,722,Food services and drinking places,8
72115,4451,Grocery stores,8
72115,44511,Supermarkets and other grocery (except convenience) stores,8
72115,722,Food services and drinking places,18
72057,4451,Grocery stores,9
72057,44511,Supermarkets and other grocery (except convenience) stores,9
72057,722,Food services and drinking places,51
72099,4451,Grocery stores,11
72099,44511,Supermarkets and other grocery (except convenience) stores,10
72099,722,Food services and drinking places,29
72049,4451,Grocery stores,3
72049,44511,Supermarkets and other grocery (except convenience) stores,3
72049,722,Food services and drinking places,8
72063,4451,Grocery stores,11
72063,44511,Supermarkets and other grocery (except convenience) stores,11
72063,722,Food services and drinking places,28
72123,4451,Grocery stores,6
72123,44511,Supermarkets and other grocery (except convenience) stores,5
72123,722,Food services and drinking places,28
72017,4451,Grocery stores,6
72017,44511,Supermarkets and other grocery (except convenience) stores,5
72017,722,Food services and drinking places,35
72087,4451,Grocery stores,9
72087,44511,Supermarkets and other grocery (except convenience) stores,6
72087,722,Food services and drinking places,13
72153,4451,Grocery stores,7
72153,44511,Supermarkets and other grocery (except convenience) stores,7
72153,722,Food services and drinking places,42
72061,4451,Grocery stores,16
72061,44511,Supermarkets and other grocery (except convenience) stores,16
72061,722,Food services and drinking places,201
72061,7224,Drinking places (alcoholic beverages),4
56031,4451,Grocery stores,3
56031,722,Food services and drinking places,27
56031,7224,Drinking places (alcoholic beverages),4
72005,4451,Grocery stores,15
72005,44511,Supermarkets and other grocery (except convenience) stores,14
72005,722,Food services and drinking places,94
72023,4451,Grocery stores,13
72023,44511,Supermarkets and other grocery (except convenience) stores,11
72023,722,Food services and drinking places,73
72023,7224,Drinking places (alcoholic beverages),6
72053,4451,Grocery stores,13
72053,44511,Supermarkets and other grocery (except convenience) stores,8
72053,722,Food services and drinking places,56
72083,4451,Grocery stores,3
72083,44511,Supermarkets and other grocery (except convenience) stores,3
72083,722,Food services and drinking places,5
72109,4451,Grocery stores,8
72109,44511,Supermarkets and other grocery (except convenience) stores,8
72109,722,Food services and drinking places,16
72117,4451,Grocery stores,4
72117,44511,Supermarkets and other grocery (except convenience) stores,3
72117,722,Food services and drinking places,34
72149,4451,Grocery stores,9
72149,44511,Supermarkets and other grocery (except convenience) stores,9
72149,722,Food services and drinking places,11
16069,4451,Grocery stores,9
16069,44511,Supermarkets and other grocery (except convenience) stores,7
16069,722,Food services and drinking places,87
16069,7224,Drinking places (alcoholic beverages),13
16053,722,Food services and drinking places,29
16055,4451,Grocery stores,33
16055,44511,Supermarkets and other grocery (except convenience) stores,21
16055,4453,"Beer, wine, and liquor stores",13
16055,722,Food services and drinking places,381
