FIPS,NAICS2017,NAICS2017_LABEL,n
31025,722,Food services and drinking places,37
31025,7224,Drinking places (alcoholic beverages),6
31039,4451,Grocery stores,4
31039,44511,Supermarkets and other grocery (except convenience) stores,4
31039,722,Food services and drinking places,22
31039,7224,Drinking places (alcoholic beverages),5
31051,722,Food services and drinking places,7
31051,7224,Drinking places (alcoholic beverages),4
31057,722,Food services and drinking places,5
31077,4451,Grocery stores,3
31077,44511,Supermarkets and other grocery (except convenience) stores,3
31077,722,Food services and drinking places,4
31079,4451,Grocery stores,11
31079,44511,Supermarkets and other grocery (except convenience) stores,10
31079,722,Food services and drinking places,129
