"Variable","OR_CI_str","prob_CI_str","p_str","OR","CI_l","CI_u","OR_prob","CI_l_prob","CI_u_prob","pvalue","significant"
"StateAbbrNE","2.287 (1.471,  3.556)"," 19.58% (  9.54%,  28.05%)","< 0.001",2.2873963530581,1.47136595765829,3.55600321507413,19.5807900051434,9.53654711067006,28.0509373502773,0,TRUE
"StateAbbrNH","4.051 (2.625,  6.253)"," 30.20% ( 22.41%,  36.21%)","< 0.001",4.05129242122998,2.62482451915798,6.25297811816411,30.2030863270335,22.4124576316788,36.2125600862405,0,TRUE
"StateAbbrNJ","1.563 (1.030,  2.370)"," 10.98% (  0.75%,  20.33%)","0.036",1.56262409364855,1.03032719119204,2.36992101045682,10.9774994905225,0.74685477600854,20.3257139589618,0.036,TRUE
"StateAbbrNM","2.283 (1.458,  3.575)"," 19.54% (  9.31%,  28.14%)","< 0.001",2.28294884930639,1.45774556468186,3.5752847237692,19.5395802401467,9.31230578257824,28.1434367394696,0,TRUE
"StateAbbrNV","1.539 (1.011,  2.341)"," 10.61% (  0.28%,  20.07%)","0.044",1.53861322945804,1.01129223844243,2.34089670608905,10.6084145313666,0.280720976957014,20.0679162520223,0.044,TRUE
"StateAbbrNY","2.125 (1.400,  3.225)"," 18.00% (  8.33%,  26.33%)","< 0.001",2.12485596639294,1.39997844951309,3.22505884250288,17.9985250278811,8.33295918957605,26.3316905804888,0,TRUE
"StateAbbrOH","2.373 (1.567,  3.594)"," 20.35% ( 11.04%,  28.23%)","< 0.001",2.37282779940044,1.56673684021711,3.59365505494037,20.3512880148295,11.0400262180593,28.2308425852628,0,TRUE
"StateAbbrOK","1.891 (1.237,  2.890)"," 15.41% (  5.30%,  24.29%)","0.003",1.89104181041716,1.23736285886865,2.89004886732698,15.4103930148383,5.30452308904149,24.2933820600782,0.003,TRUE
"StateAbbrOR","1.226 (0.802,  1.875)","  5.08% ( -5.50%,  15.22%)","0.346",1.22638050461706,0.801932056601138,1.87548200589374,5.08404794570365,-5.49598811656818,15.2232217781107,0.346,FALSE
"StateAbbrPA","2.771 (1.827,  4.200)"," 23.48% ( 14.63%,  30.77%)","< 0.001",2.77055321761152,1.8274520567346,4.20036471180175,23.4786928525714,14.6324683872839,30.7705794608868,0,TRUE
"StateAbbrRI","0.704 (0.442,  1.121)"," -8.69% (-19.33%,   2.84%)","0.139",0.703974797606583,0.442275920540026,1.12052339421988,-8.68631398801251,-19.3348606711519,2.84183127968309,0.139,FALSE
"StateAbbrSC","1.522 (0.998,  2.321)"," 10.35% ( -0.06%,  19.89%)","0.051",1.52180774409863,0.99764019524264,2.32137680602905,10.3459065291501,-0.0590648096433952,19.8920038766823,0.051,FALSE
"StateAbbrSD","1.157 (0.667,  2.008)","  3.64% ( -9.99%,  16.76%)","0.604",1.15719997348195,0.666865553607201,2.00806860000956,3.64361151989559,-9.99284092444874,16.7560773049916,0.604,FALSE
"StateAbbrTN","1.595 (1.048,  2.427)"," 11.47% (  1.18%,  20.82%)","0.029",1.59527420772304,1.04842246503924,2.42736099491259,11.4684260713495,1.18194527412378,20.8230326048423,0.029,TRUE
"StateAbbrTX","1.447 (0.958,  2.186)","  9.14% ( -1.06%,  18.61%)","0.079",1.44724323168612,0.958352850040635,2.18553424406521,9.13769473126663,-1.06332089129139,18.6080913472192,0.079,FALSE
"StateAbbrUT","1.172 (0.744,  1.847)","  3.96% ( -7.35%,  14.87%)","0.494",1.17189243073332,0.743738615450417,1.84652489554861,3.95720405626358,-7.34804466331638,14.8694447898981,0.494,FALSE
"StateAbbrVA","1.570 (1.035,  2.381)"," 11.09% (  0.86%,  20.43%)","0.034",1.57003898538659,1.03508336037744,2.38147236251086,11.0900844039306,0.861963717568173,20.4270834478309,0.034,TRUE
"StateAbbrVT","8.040 (5.144, 12.568)"," 38.94% ( 33.72%,  42.63%)","< 0.001",8.04045438452273,5.14412636049113,12.5675191819002,38.9386090846053,33.7242930674351,42.6294557863308,0,TRUE
"StateAbbrWA","1.383 (0.913,  2.096)","  8.04% ( -2.27%,  17.70%)","0.126",1.38325799173997,0.9130070237095,2.0957151719802,8.04063162839028,-2.27372338972944,17.6972865898272,0.126,FALSE
"StateAbbrWI","1.367 (0.893,  2.093)","  7.75% ( -2.83%,  17.67%)","0.150",1.36684358041882,0.892703661417514,2.09281249095085,7.74963718459809,-2.83447273785394,17.6669696942229,0.15,FALSE
"StateAbbrWV","1.706 (1.054,  2.762)"," 13.05% (  1.31%,  23.42%)","0.030",1.70622888218805,1.05390225538697,2.76232163232607,13.0482104975734,1.31219134809359,23.4206668720732,0.03,TRUE
"StateAbbrWY","0.488 (0.196,  1.218)","-17.19% (-33.62%,   4.91%)","0.124",0.488359885743049,0.195860833746388,1.21767774312541,-17.1880510606989,-33.6217703415542,4.90778571864626,0.124,FALSE
