"Variable","OR_CI_str","prob_CI_str","p_str","OR","CI_l","CI_u","OR_prob","CI_l_prob","CI_u_prob","pvalue","significant"
"StateAbbrNM","1.554 (1.182, 2.043)"," 10.84% (  4.17%,  17.13%)","0.002",1.55370254211938,1.18183262181804,2.04258331071852,10.8411714556984,4.16697000493384,17.1331924921443,0.002,TRUE
"StateAbbrNV","1.961 (1.529, 2.515)"," 16.23% ( 10.46%,  21.55%)","< 0.001",1.96098557462675,1.52906500021625,2.5149123309672,16.2274612693425,10.4596955825772,21.5497882780812,0,TRUE
"StateAbbrNY","1.635 (1.282, 2.086)"," 12.05% (  6.17%,  17.59%)","< 0.001",1.63507274938166,1.28171500120975,2.08584817470899,12.0503836095357,6.17331702382607,17.5939986874337,0,TRUE
"StateAbbrOH","1.727 (1.351, 2.208)"," 13.33% (  7.47%,  18.83%)","< 0.001",1.72727297985846,1.35135226346249,2.20776775058248,13.3333367292079,7.47128086510332,18.8256732483698,0,TRUE
"StateAbbrOK","1.303 (1.007, 1.687)","  6.58% (  0.17%,  12.78%)","0.044",1.30304499748214,1.00665675659829,1.68669832525726,6.57922441405739,0.165866847342024,12.7795949177046,0.044,TRUE
"StateAbbrOR","1.695 (1.325, 2.170)"," 12.90% (  6.98%,  18.45%)","< 0.001",1.69524172604873,1.3246311704412,2.16954317085824,12.8975764832041,6.98242315961865,18.4497119586725,0,TRUE
"StateAbbrPA","1.542 (1.207, 1.971)"," 10.66% (  4.68%,  16.34%)","< 0.001",1.54204446907761,1.20670465590237,1.97057426851034,10.6615851074055,4.68355960888307,16.3364753879232,0,TRUE
"StateAbbrRI","1.607 (1.240, 2.082)"," 11.64% (  5.36%,  17.55%)","< 0.001",1.60687517739871,1.24022059289641,2.08192627225292,11.6398971201276,5.36153880689554,17.552760460133,0,TRUE
"StateAbbrSC","1.962 (1.531, 2.515)"," 16.24% ( 10.49%,  21.55%)","< 0.001",1.96193285931053,1.53078679002679,2.51451121052269,16.2382623948885,10.4865963446326,21.5465411802947,0,TRUE
"StateAbbrSD","3.219 (2.429, 4.267)"," 26.30% ( 20.84%,  31.01%)","< 0.001",3.21943295915292,2.42922245768618,4.26669387387127,26.3001329875198,20.8388705504181,31.0127563145235,0,TRUE
"StateAbbrTN","1.695 (1.324, 2.172)"," 12.90% (  6.96%,  18.47%)","< 0.001",1.69545247858403,1.32365381404427,2.17168498034532,12.9004774543338,6.96432945579261,18.4710175759282,0,TRUE
"StateAbbrTX","1.834 (1.438, 2.340)"," 14.72% (  8.98%,  20.06%)","< 0.001",1.83409102962795,1.43766382860493,2.33983066001316,14.7153182609214,8.97711619356899,20.0583621806723,0,TRUE
"StateAbbrUT","1.163 (0.888, 1.524)","  3.78% ( -2.97%,  10.39%)","0.272",1.16349921790966,0.887996315956486,1.52447752963733,3.77858278284081,-2.96620504756578,10.3878430978285,0.272,FALSE
"StateAbbrVA","1.604 (1.253, 2.055)"," 11.60% (  5.61%,  17.26%)","< 0.001",1.60419573981723,1.25257085991962,2.05452965097153,11.600428696263,5.60628001572901,17.2617353810287,0,TRUE
"StateAbbrVT","0.887 (0.666, 1.180)"," -3.00% (-10.01%,   4.14%)","0.410",0.88687373934786,0.666322283240298,1.18042732372677,-2.99771676008481,-10.0124003656375,4.13743035054216,0.41,FALSE
"StateAbbrWA","1.609 (1.259, 2.056)"," 11.67% (  5.73%,  17.28%)","< 0.001",1.60888181245751,1.25897624801598,2.05603615678676,11.6694019934149,5.7321596064463,17.2778740598592,0,TRUE
"StateAbbrWI","2.077 (1.620, 2.663)"," 17.50% ( 11.83%,  22.70%)","< 0.001",2.07673813455358,1.61967361079547,2.66278418735915,17.4980464288003,11.8273056659013,22.6983641719553,0,TRUE
"StateAbbrWV","1.706 (1.284, 2.267)"," 13.05% (  6.22%,  19.39%)","< 0.001",1.70629756066607,1.28421076282254,2.26711335072129,13.0491482335785,6.22120268953095,19.3919404486157,0,TRUE
"StateAbbrWY","1.188 (0.761, 1.856)","  4.30% ( -6.79%,  14.99%)","0.448",1.18824606811997,0.760726575380734,1.85602654632633,4.30130027108193,-6.79473542243566,14.9863198475418,0.448,FALSE
